,Date,User,Tweet
0,2018-01-06 21:12:12+00:00,patel_anugrah,"@BharatSolankee @paresh_dhanani @nsui @INCIndia Paresh ji, you still have time to play some mindful politics and get support of 7-8 MLS and form government"
1,2018-01-06 18:37:42+00:00,MallappaGuddad,@BharatSolankee @paresh_dhanani @nsui @INCIndia If U r well aware history of @INCIndia dn it won't be ur word
2,2018-01-06 16:44:34+00:00,daniel_sanubetu,@BharatSolankee @paresh_dhanani @nsui @INCIndia The action and decision proves that .
3,2018-01-06 16:41:52+00:00,KohinoorMM,@BharatSolankee @INCIndia @paresh_dhanani @nsui Congratulations 🍰👏😃👍
4,2018-01-06 16:30:15+00:00,SyedAsifIqbal73,@BharatSolankee @paresh_dhanani @nsui @INCIndia Congratulations  Sir
5,2018-01-06 16:28:04+00:00,vijaipkumar,@BharatSolankee @INCIndia @paresh_dhanani @nsui Good choice....
6,2018-01-06 16:27:37+00:00,JatinSh79381311,@BharatSolankee @paresh_dhanani @nsui @INCIndia Perfact dicision  👍 by @OfficeOfRG hum aapke saath hai
7,2018-01-06 16:25:31+00:00,RajeshP78113341,@BharatSolankee @paresh_dhanani @nsui @INCIndia Sir I think Lulu is suitable for this post
8,2018-01-06 15:52:59+00:00,katheebmm1962,"@BharatSolankee @paresh_dhanani @nsui @INCIndia Good choice,young man n patel community too,"
9,2018-01-06 15:12:09+00:00,pruthvipateljgd,@BharatSolankee @paresh_dhanani @nsui @INCIndia really right choice .we all hope for strong voice to raise  agaist # fasist bjp..!!
10,2018-01-04 17:55:24+00:00,ManojSh22093198,@BharatSolankee @DeependerSHooda Happy birthday
11,2018-01-04 11:25:51+00:00,Shivbha69673833,@BharatSolankee @ashokgehlot51 @INCIndia @INCGujarat @OfficeOfRG @NavsarjnGujarat Nice
12,2018-01-04 05:31:58+00:00,im_pooja18,"@BharatSolankee @DeependerSHooda Gujarat: Unhappy with portfolio, sulking minister Parshottam Solanki skips Cabinet meet https://t.co/MOxvJGkvF5"
13,2018-01-04 03:00:57+00:00,dharamdeep,"@BharatSolankee @ashokgehlot51 @INCIndia @INCGujarat @OfficeOfRG @NavsarjnGujarat Common man of gujarat believe that Paresh Dhanani should be a opposition leader, he is a young &amp; dynamic. Today he gives Amreli, tommorow can give #Gujarat. Forget about all seniors leaders they are liability for congress. Give chance to new generation to revive INC."
14,2018-01-03 12:27:33+00:00,Editornivas1,@BharatSolankee @INCGujarat @ashokgehlot51 @INCIndia @OfficeOfRG @NavsarjnGujarat Is mewani made floor leader??
15,2018-01-03 03:20:22+00:00,nh005,"@BharatSolankee @BJP4India This also explains the deathly silence of the PM and his cohorts,on the daily carnage on the LOC ! Hundreds of jawans have died but it doesn't matter, since they were meant to die !! Every word they utter is blasphemy and shows how unfit they are for governance !"
16,2018-01-02 22:02:49+00:00,shivamdprasad,@BharatSolankee Yes. #vikas needs that na.
17,2018-01-02 17:16:13+00:00,sjhuq,"@BharatSolankee U R absolutely right punishing ""poor for being poor""
when loans are defaulted by big wigs, funds in account of poor will be used to bail in. When banks are making profits why not they share their profits too, why only losses?
Our PM must look into it to punish defaulters"
18,2018-01-02 16:59:21+00:00,socialraj84,@BharatSolankee @BJP4India Highly shameful.
19,2018-01-02 14:45:39+00:00,narendr72,"@BharatSolankee Before Allocation of Party tickets I strongly recommended for ticket to sitting MLA Baldevji C.Thakor for Kalol Seat who got elected with margin of 10000 votes,Now I strongly recommend Paresh Dhanani as opposition leader in Gujarat Assembly."
20,2018-01-02 12:33:50+00:00,bablu_bhunia,@BharatSolankee Absolutely. That is the agenda of B-P
21,2018-01-02 09:10:20+00:00,daniel_sanubetu,"@BharatSolankee It is painful for many including me , in one account . Then, Bail-in , in the near future ! People are charged for ATM withdrawals after a certain numbers . Public must protest against all three decisions . They need a political support ."
22,2018-01-02 08:16:14+00:00,AmitThakur_HP,@BharatSolankee @BJP4India Shame for bjp
23,2018-01-02 08:05:40+00:00,jasmvk,"@BharatSolankee Dear @SBI please enlighten us by disclosing how much Loan defaulters you got? How much did you collect from them? How much have you written off? How much other fines  have you collected? How much have collected for withdrawal, transactions etc"
24,2018-01-02 06:01:54+00:00,nazrul_Choudh,"@BharatSolankee @BJP4India Once BJP used to say EK SIR KA BODLE DOSH
Now it Insults our Martyrdom # you must not fill your brain with cow dung considering its usefulness"
25,2018-01-02 05:49:13+00:00,patel_anugrah,"@BharatSolankee @BJP4India Foolish, he should be thrown out"
26,2018-01-02 05:28:40+00:00,basu_smarajit,"@BharatSolankee Example of ""Bail-in"", not ""Bail-out"" by Public Sector Banks in display for all to see! Where is Mr.Jaitlie?
@pbhushan1 @Stupidosaur @sardesairajdeep @SitaramYechury @mkvenu1 @OfficeOfRG @jigneshmevani80 @sanjivbhatt @thewire_in @ndtv @Shehla_Rashid @PChidambaram_IN @DrAMSinghvi"
27,2018-01-02 05:19:07+00:00,NeerGopal,"@BharatSolankee @BJP4India Sirji Sanjay Ke liye Thoda Bolo Na pls...!!

Just Your information he Opollozise for Publicly But Sanjay can't why...?

@adhirasy @SandhyaPanchal_
@tv9gujarati @Zee24Kalak @deepakrajani123 @dhaval241086 @AmitThakerBJP @TajinderBagga @bharatpandyabjp @ahmedabadmirror @sandeshnews https://t.co/9Ba6egxscZ"
28,2018-01-02 05:11:57+00:00,vishal09solanki,@BharatSolankee Very true it’s only poor people who face problem of maintaining minimum balance. And Bjp govt is trying its level best to put poor people in miserable condition.
29,2018-01-01 16:20:56+00:00,JM_Scindia,"@BharatSolankee Thank you for your warm wishes, Bharat ji. Wish you a very happy new year!"
30,2018-01-01 07:57:32+00:00,socialraj84,@BharatSolankee Thank you sir. Wishing you the best of 2018 as well
31,2018-01-01 05:55:38+00:00,preetipanwe_inc,@BharatSolankee @JM_Scindia My best wishes to @JM_Scindia ji. A leader who has always inspired me to work harder &amp; mentored me in difficult times.
32,2018-01-01 05:50:05+00:00,SaikatdasINC,@BharatSolankee Ji Happy New Year
33,2017-12-31 16:33:19+00:00,vishal09solanki,"@BharatSolankee dear sir, wish u and ur family a very happy and prosperous new year.. regards"
34,2017-12-31 15:21:52+00:00,ijal_patel,@BharatSolankee Sir During UPA 1 &amp; 2 Dr MMS ji did same. They only condemnation such type of attacks. It’s Modi government who did gave answers to Pakistan. I hope you know about all those.
35,2017-12-30 14:33:01+00:00,Fatekhan10,@BharatSolankee Policy against farmer and favour to industry. Poor v/s rich.
36,2017-12-30 07:04:15+00:00,makul1,@BharatSolankee support Nitin Patel for cm..  @ashokgehlot51 @INCGujarat
37,2017-12-29 03:48:50+00:00,nanditathhakur,@BharatSolankee is it true?? https://t.co/REW6wAH1zZ
38,2017-12-28 08:33:01+00:00,bafna_bharat,@BharatSolankee today no temple visit?
39,2017-12-28 04:47:35+00:00,amansinghchaud5,@BharatSolankee @INCIndia @INCGujarat @OfficeOfRG @MahilaCongress @IYC That is great party
40,2017-12-27 15:59:18+00:00,ManishKolhe,"@BharatSolankee So after communal divide you started to divide people as zone wise for your political benefits
You people really with shameless attitudes"
41,2017-12-27 04:44:51+00:00,r2public,"@BharatSolankee If this is true, then Congress should support these people who stood by you."
42,2017-12-26 18:37:36+00:00,SpartanHominine,"@BharatSolankee Vendetta on the people👿... VERY BAD .... so is it all about .... ""Mere Saath Mera Vikas""? 🤔"
43,2017-12-26 17:38:11+00:00,Bhargav47421903,@BharatSolankee But how do you come to know sir about this sir of govt misdeeds what proof do you have
44,2017-12-26 17:13:53+00:00,bafna_bharat,"@BharatSolankee @IndianExpress why your party lost election ,first assess himself."
45,2017-12-26 12:53:14+00:00,aipatel_55,@BharatSolankee Congress should aggressively take up such issue rigorously.
46,2017-12-26 10:50:10+00:00,DrKasatsachin,@BharatSolankee Shame @narendramodi @AmitShah
47,2017-12-26 10:28:58+00:00,rajaryadr,@BharatSolankee u have 80+MLA to break the bone of such orders or policies.if its true than gherao the assembly &amp; come on streets together.gujratis want justification of their votes from cong &amp; fight for them.drawing room politics is over by scratching each other back.2019 is not very far
48,2017-12-26 08:44:32+00:00,ihiteshsanghvi,@BharatSolankee Y dint u fight election. U knew u will loose like ur other friends.
49,2017-12-26 08:19:29+00:00,NeerGopal,"@BharatSolankee Why Gujarati Refused CONGRESS,
Nov-14 Gas Rate 39.85/- &amp; Dec-17 After increase Rs.34.50/- Between this periods Rate Ups &amp; Down. Narmada Water Supply Stopped for Maintenance Purpose. Both Answer is Here #Congress is Lia Hard
@dhaval241086 @malviyamit @sanghaviharsh @sambitswaraj https://t.co/jcG5IBqjxy"
50,2017-12-26 07:36:19+00:00,India_legally,@BharatSolankee Need to continue with protest for getting MSP and water across the belt. Need to fight for Farmers who have supported Cong. The battle is not over as yet. 2019 clean up next target.
51,2017-12-24 04:09:33+00:00,Nitesh080508,"@BharatSolankee 
we request to you to chance to young generation of Gujarat so I am interested so contact me sir 8238072351 because I am unable to contact to you so give us chance for good governance for GUJARAT."
52,2017-12-23 18:26:58+00:00,jas_joon,@BharatSolankee @ashokgehlot51 Good going
53,2017-12-23 17:18:58+00:00,AmitM2018,"@BharatSolankee @ashokgehlot51 From this point, Congress must march ahead. Do not put much emphasis on BJP's negatives. Instead emphasize your positives, your programmes."
