,Date,User,Tweet
0,2018-01-06 19:50:26+00:00,RHemantofficial,@vijayrupanibjp Again politics of castism...
1,2018-01-06 19:50:03+00:00,KaranMarathe21,@vijayrupanibjp @AmitShah @vijayrupanibjp always remember one thing loko e vote modi saheb n aapyo che tmne tamaro peon pn vote nai kre.give employment
2,2018-01-06 19:49:27+00:00,KaranMarathe21,@vijayrupanibjp @AmitShah @vijayrupanibjp have 2019 jitvu hoy n to job aapo . Jobless from last 6 month mechanical engineer 1st class.
3,2018-01-06 18:50:24+00:00,SamSathwara1,@vijayrupanibjp @narendramodi @BJP4India @RJdevaki @abpnewstv @Divya_Bhaskar @PMOIndia   Frwd Msg Is it right or wrong ?? https://t.co/KWUmMVR8pH
4,2018-01-06 18:43:11+00:00,Bhargav46985645,"@vijayrupanibjp Congratulation BJP, Honorable CM and team. New Gujarat Govt have to work hard with aggression and honesty."
5,2018-01-06 17:57:12+00:00,CAMANISHBAXI,@vijayrupanibjp Really very good event and many such events must be planned in Gujarat
6,2018-01-06 17:25:32+00:00,skuldeeps,@vijayrupanibjp @narendramodi Good sir!
7,2018-01-06 17:05:09+00:00,Jagdish39248889,@vijayrupanibjp What about economic development of other Hindu community. Do Brahmans also have to start agitation!!
8,2018-01-06 16:47:25+00:00,SrilathaR1,@vijayrupanibjp I think it is a good move for the welfare of Patidar community
9,2018-01-06 16:47:03+00:00,PatKiranbhai,@vijayrupanibjp @CMOGuj @PMOIndia @narendramodi ji if check with CBI or CAG honestly I think coal gasifier is biggest SCANDAL of Gujarat ??? @jigneshmevani80 @paresh_dhanani @saurabhpatelguj @ChaudhryShankar many big shot come under legal case &amp; may be in jail ? Stop corrupt pls.
10,2018-01-06 16:39:08+00:00,vipulram68,"@vijayrupanibjp Yes but govt. Of Gujarat need some guidance for announced..
Like GRAM SEVAK post for gujrat"
11,2018-01-06 16:12:36+00:00,PatKiranbhai,"@vijayrupanibjp ji talking and encourage solar energy system to save environment to give #cleanair other side you close your eyes in carcinogenic air producer coal gasifier, give free hand to generate black money &amp; corruption to ceramic industry @saurabhpatelguj @paresh_dhanani ?"
12,2018-01-06 15:52:37+00:00,MPanseria,@vijayrupanibjp Busness Patidar votes with you only if not arrange such a events.. Now require to focus on villages for require really vote share... Make co-operative farm busness village base... Combine all lands of village and do farming with latest equpments with proper errigation facilities.
13,2018-01-06 15:42:38+00:00,ishhpatel,"@vijayrupanibjp SHAME😡  AHMD IS TURNING INTO ALCOHOL PARADISE, CORRUPT POLICE IS MAKING EVERY BOOTLEGGER FEEL LIKE RAEES  WAKE UP SIR  🙏"
14,2018-01-06 15:29:29+00:00,vishnukumarvyas,"@vijayrupanibjp i kunal vyas (twitting from my uncle's twitter handle), a resident of surat. I m doing a job nd my house depends on it. Bt from the past 6 months, my boss is nt paynig my salary as well as threating me. My 1st nd last hope is from u. Plz help me out."
15,2018-01-06 15:23:49+00:00,Vikramr24396075,@vijayrupanibjp @narendramodi Very nice
16,2018-01-06 15:11:49+00:00,Prakash68570466,"@vijayrupanibjp Sir,it's time now to order DSP Vadodara rural to register FIR's against land graber.so that dreams of PM can be fulfilled."
17,2018-01-06 15:01:10+00:00,PatKiranbhai,"@vijayrupanibjp @CMOGuj sir all reports from GPCB , CPCB , expert panel Gujarat &amp; NEERI all agency say stop coal gasifier in morbi but officers not take any action and say pressure from upper level no action who want to kill public ? @INCGujarat @saurabhpatelguj @paresh_dhanani"
18,2018-01-06 14:58:20+00:00,Rakshart0,@vijayrupanibjp @narendramodi New India
19,2018-01-06 14:36:30+00:00,JaggiBedi,@vijayrupanibjp @narendramodi @nitin_gadkari Sir this may be very good but how about looking at NH from Abu Rd- Mehsana- Ahmedabad. How can you have unmarked/ non specified speed breakers  on a NH. Kindly build fly overs through city area or bye pass. One gets very poor impression of infrastructure in Gujrat
20,2018-01-06 14:06:12+00:00,PVenkataramu,@vijayrupanibjp Good move to attract them 150 gaurenty in2022
21,2018-01-06 13:52:07+00:00,pujar_l,@vijayrupanibjp This is our way.
22,2018-01-06 13:35:59+00:00,AnjaSpeak,"@vijayrupanibjp From ""Vibrant Gujarat"" to a business meet based on a particular caste? 
That from a Chief Minister!
@narendramodi"
23,2018-01-06 13:35:25+00:00,saagar_anand,"@vijayrupanibjp @narendramodi Great sir . Highlighted yhe contributions of Patidar community In Gandhi Nagar , Gujarat. This event was launched to provide impetus to Patidar community and it will definitely help them . Regards"
24,2018-01-06 13:31:07+00:00,YGaneshRao,"@vijayrupanibjp @ajshetty88 This is a good development which upgrades Patidar Community. Very good messege to anti-Indians sucha as Alpesh, Mewani and Hardik."
25,2018-01-06 12:18:11+00:00,Maheshjangaria,@vijayrupanibjp Good sar
26,2018-01-06 11:28:20+00:00,Kaushik254,@vijayrupanibjp @Nitinbhai_Patel @BhupendraSinh1 this is the condition of education in Gujarat no punishment tu culprit bcz it doesn't hurts politicians https://t.co/vYGnEWW3xP
27,2018-01-06 11:23:21+00:00,Ajitraput007,@vijayrupanibjp igautamshah Regarding road condition from Subhash bridge to kaligam - promise of resurfacing Ahmedabad in two months?
28,2018-01-06 10:53:42+00:00,sunilddesai,"@vijayrupanibjp Really ? 
Never knew it is like Bhavnagar Energy - Started in 2010 and finished....GOD knows when"
29,2018-01-06 10:24:52+00:00,AameenRauma,@vijayrupanibjp That Word is say to himself I'mPossible= I am Possible @narendramodi
30,2018-01-06 10:16:08+00:00,AameenRauma,"@vijayrupanibjp Dear.Cm sir,in Gujarat @narendramodi have done promise of 15 lack to every Person in Gujarat.(Where That speech is Gone).
Dam hea to reply karo @inc"
31,2018-01-06 09:51:43+00:00,tsksarma1710,@vijayrupanibjp And that's why we are supporting Congress Mukht Bharat!!
32,2018-01-06 08:51:30+00:00,svkanani,@vijayrupanibjp In this event only for product big man his name no body benefit to poor and middleclass patidar. Same me because why patidars event opening by cm?
33,2018-01-06 08:07:31+00:00,GovardhanShett3,"@vijayrupanibjp BUT KINDLY REMEMEBER
MR. C.M. THAT PEOPLE
HAVE BECOME VERY
SHREWD. THEY STOPPED
VOTING FOR NOTES. THEY
EXPECT IMPROVEMENT
AND DEVELOPMENT OTHERWISE THEY BECOME
NOT VOTE GIVERS BUT
VOTE SNATCHERS."
34,2018-01-06 08:06:05+00:00,443953ba25cf41f,"@vijayrupanibjp Very gentlemanly way of snubbing HADIK, JIGNESH ETC.
YES, BJP should help Patidars like this and tell them Modi is for Dalits and backwsrd classes.
DALITS AND PATIDARS ARE OUR FRIENDS."
35,2018-01-06 07:55:53+00:00,Dlrajput1,@vijayrupanibjp Welcome sir g
36,2018-01-06 07:14:18+00:00,iam_Politician,@vijayrupanibjp Even Election can be win without public support. If he may decide.
